PADRAO;NOME_CIDADE;COD_OPERADORA;ID_REGISTRO_EMISSAO;ORIGEM;TIPO;VENCTO;EMISSAO;ARQUIVO;QTD_PAGE_NET;QTDE_PAGE_EMBRATEL;QTDE_PAGE_CLARO;QTDE_PAGE_TOTAL;QTD_COB_NET;QTDE_COB_EMBRATEL;QTDE_COB_CLARO;QTDE_COB_TOTAL;VALOR_NET;VALOR_EMBRATEL;VALOR_CLARO;VALOR_TOTAL
0;BELO HORIZONTE;013;183345;Primeira Via-PrintHouse;BOLETO;15/02/2020;28/01/2020;EC01315022020_183345.rem;1617;0;23;1640;391;0;23;414;42.348,06;0,00;2.923,54;45.271,60
0;BELO HORIZONTE;013;183346;Primeira Via-PrintHouse;BOLETO;15/02/2020;28/01/2020;EC01315022020_183346.rem;105;0;1;106;27;0;1;28;2.219,32;0,00;49,99;2.269,31
0;BELO HORIZONTE;013;183347;Primeira Via-PrintHouse;BOLETO;15/02/2020;28/01/2020;EC01315022020_183347.rem;39;0;3;42;9;0;3;12;938,50;0,00;357,08;1.295,58
0;BELO HORIZONTE;013;183348;Primeira Via-PrintHouse;BOLETO;15/02/2020;28/01/2020;EC01315022020_183348.rem;83;0;1;84;20;0;1;21;1.649,84;0,00;348,18;1.998,02
0;BELO HORIZONTE;013;183366;Primeira Via-PrintHouse;BOLETO;15/02/2020;28/01/2020;ERX01315022020_183366.rem;59;0;6;65;13;0;6;19;1.155,53;0,00;340,14;1.495,67
0;BELO HORIZONTE;013;183367;Primeira Via-PrintHouse;BOLETO;15/02/2020;28/01/2020;ERZ01315022020_183367.rem;15;0;1;16;3;0;1;4;117,90;0,00;82,41;200,31
0;BELO HORIZONTE;013;183368;Primeira Via-PrintHouse;BOLETO;15/02/2020;28/01/2020;ERZ01315022020_183368.rem;5;0;1;6;1;0;1;2;199,17;0,00;56,31;255,48
0;BELO HORIZONTE;013;183349;Primeira Via-PrintHouse;BOLETO;15/02/2020;28/01/2020;ER1C01315022020_183349.rem;47;0;0;47;11;0;0;11;1.627,49;0,00;0,00;1.627,49
0;BELO HORIZONTE;013;183304;Primeira Via-PrintHouse;BOLETO;15/02/2020;28/01/2020;ER101315022020_183304.rem;6745;0;1;6746;1589;0;1;1590;238.193,52;0,00;77,59;238.271,11
0;BELO HORIZONTE;013;183306;Primeira Via-PrintHouse;BOLETO;15/02/2020;28/01/2020;ER101315022020_183306.rem;330;0;0;330;83;0;0;83;11.239,78;0,00;0,00;11.239,78
