PADRAO;NOME_CIDADE;COD_OPERADORA;ID_REGISTRO_EMISSAO;ORIGEM;TIPO;VENCTO;EMISSAO;ARQUIVO;QTD_PAGE_NET;QTDE_PAGE_EMBRATEL;QTDE_PAGE_CLARO;QTDE_PAGE_TOTAL;QTD_COB_NET;QTDE_COB_EMBRATEL;QTDE_COB_CLARO;QTDE_COB_TOTAL;VALOR_NET;VALOR_EMBRATEL;VALOR_CLARO;VALOR_TOTAL
0;BELO HORIZONTE;013;183438;Primeira Via-PrintHouse;BOLETO;15/03/2020;28/01/2020;EC01315032020_183438.rem;4;0;0;4;1;0;0;1;249,88;0,00;0,00;249,88
0;BELO HORIZONTE;013;183433;Primeira Via-PrintHouse;BOLETO;15/03/2020;28/01/2020;ER101315032020_183433.rem;5;0;0;5;2;0;0;2;730,11;0,00;0,00;730,11
0;BELO HORIZONTE;013;183434;Primeira Via-PrintHouse;BOLETO;15/03/2020;28/01/2020;ER301315032020_183434.rem;11;0;0;11;4;0;0;4;694,04;0,00;0,00;694,04
0;BELO HORIZONTE;013;183441;Primeira Via-PrintHouse;BOLETO;15/03/2020;28/01/2020;ETC01315032020_183441.rem;115;0;0;115;40;0;0;40;13.742,85;0,00;0,00;13.742,85
0;BELO HORIZONTE;013;183439;Primeira Via-PrintHouse;BOLETO;15/03/2020;28/01/2020;ETRX01315032020_183439.rem;3;0;0;3;1;0;0;1;127,45;0,00;0,00;127,45
0;BELO HORIZONTE;013;183440;Primeira Via-PrintHouse;BOLETO;15/03/2020;28/01/2020;ETRZ01315032020_183440.rem;8;0;0;8;2;0;0;2;661,31;0,00;0,00;661,31
0;BELO HORIZONTE;013;183435;Primeira Via-PrintHouse;BOLETO;15/03/2020;28/01/2020;ETR101315032020_183435.rem;9;0;0;9;3;0;0;3;1.044,51;0,00;0,00;1.044,51
0;BELO HORIZONTE;013;183436;Primeira Via-PrintHouse;BOLETO;15/03/2020;28/01/2020;ETR301315032020_183436.rem;15;0;0;15;6;0;0;6;2.011,91;0,00;0,00;2.011,91
0;BELO HORIZONTE;013;183437;Primeira Via-PrintHouse;BOLETO;15/03/2020;28/01/2020;ET01315032020_183437.rem;321;0;0;321;111;0;0;111;33.897,98;0,00;0,00;33.897,98
0;BELO HORIZONTE;013;183432;Primeira Via-PrintHouse;BOLETO;15/03/2020;28/01/2020;E01315032020_183432.rem;285;0;0;285;120;0;0;120;37.684,70;0,00;0,00;37.684,70
0;BELO HORIZONTE;013;183443;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;28/01/2020;DR101315032020_183443.rem;3;0;0;3;1;0;0;1;119,80;0,00;0,00;119,80
0;BELO HORIZONTE;013;183444;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;28/01/2020;DR301315032020_183444.rem;2;0;0;2;2;0;0;2;354,22;0,00;0,00;354,22
0;BELO HORIZONTE;013;183449;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;28/01/2020;DTC01315032020_183449.rem;159;0;0;159;51;0;0;51;15.911,58;0,00;0,00;15.911,58
0;BELO HORIZONTE;013;183448;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;28/01/2020;DTRX01315032020_183448.rem;3;0;0;3;1;0;0;1;299,59;0,00;0,00;299,59
0;BELO HORIZONTE;013;183445;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;28/01/2020;DTR101315032020_183445.rem;3;0;0;3;1;0;0;1;290,89;0,00;0,00;290,89
0;BELO HORIZONTE;013;183446;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;28/01/2020;DTR301315032020_183446.rem;11;0;0;11;3;0;0;3;1.037,52;0,00;0,00;1.037,52
0;BELO HORIZONTE;013;183447;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;28/01/2020;DT01315032020_183447.rem;428;0;0;428;144;0;0;144;48.483,82;0,00;0,00;48.483,82
0;BELO HORIZONTE;013;183442;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;28/01/2020;D01315032020_183442.rem;135;0;0;135;60;0;0;60;14.618,81;0,00;0,00;14.618,81
