PADRAO;NOME_CIDADE;COD_OPERADORA;ID_REGISTRO_EMISSAO;ORIGEM;TIPO;VENCTO;EMISSAO;ARQUIVO;QTD_PAGE_NET;QTDE_PAGE_EMBRATEL;QTDE_PAGE_CLARO;QTDE_PAGE_TOTAL;QTD_COB_NET;QTDE_COB_EMBRATEL;QTDE_COB_CLARO;QTDE_COB_TOTAL;VALOR_NET;VALOR_EMBRATEL;VALOR_CLARO;VALOR_TOTAL
0;PRAIA GRANDE;027;1615982;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC02715022020_1615982.rem;139;0;3;142;52;0;3;55;5.720,53;0,00;336,54;6.057,07
0;RIO CLARO;076;1615828;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC07615022020_1615828.rem;55;0;1;56;21;0;1;22;2.802,45;0,00;54,99;2.857,44
0;BARRA MANSA;100;1615502;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC10015022020_1615502.rem;20;0;1;21;7;0;1;8;872,49;0,00;54,99;927,48
0;SANTA BARBARA DOESTE;103;1615811;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC10315022020_1615811.rem;116;0;2;118;40;0;2;42;4.285,33;0,00;254,96;4.540,29
0;MANAUS;121;1615697;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC12115022020_1615697.rem;667;0;26;693;220;0;26;246;28.866,57;0,00;3.509,96;32.376,53
0;SANTO ANDRE;129;1615859;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC12915022020_1615859.rem;208;0;5;213;68;0;5;73;8.962,10;0,00;716,83;9.678,93
0;RECIFE;136;1615748;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC13615022020_1615748.rem;232;0;7;239;82;0;7;89;8.537,49;0,00;1.776,96;10.314,45
0;SAO BERNARDO DO CAMPO;141;1615786;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC14115022020_1615786.rem;246;0;8;254;93;0;8;101;10.338,29;0,00;1.724,95;12.063,24
0;SAO CAETANO DO SUL;143;1615941;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC14315022020_1615941.rem;73;0;3;76;27;0;3;30;3.378,76;0,00;415,10;3.793,86
0;SAO JOSE DOS CAMPOS;162;1615908;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC16215022020_1615908.rem;648;0;6;654;223;0;6;229;28.303,56;0,00;629,34;28.932,90
