PADRAO;NOME_CIDADE;COD_OPERADORA;ID_REGISTRO_EMISSAO;ORIGEM;TIPO;VENCTO;EMISSAO;ARQUIVO;QTD_PAGE_NET;QTDE_PAGE_EMBRATEL;QTDE_PAGE_CLARO;QTDE_PAGE_TOTAL;QTD_COB_NET;QTDE_COB_EMBRATEL;QTDE_COB_CLARO;QTDE_COB_TOTAL;VALOR_NET;VALOR_EMBRATEL;VALOR_CLARO;VALOR_TOTAL
0;VIA EMBRATEL;021;632393;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC02110022020_632393.rem;1397;0;165;1562;607;0;165;772;77.601,78;0,00;19.468,77;97.070,55
0;VIA EMBRATEL;021;632394;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC02110022020_632394.rem;7;0;1;8;3;0;1;4;525,40;0,00;33,48;558,88
0;VIA EMBRATEL;021;632395;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC02110022020_632395.rem;5;0;1;6;2;0;1;3;131,52;0,00;47,99;179,51
0;VIA EMBRATEL;021;632396;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC02110022020_632396.rem;24;0;2;26;11;0;2;13;2.175,92;0,00;83,26;2.259,18
0;VIA EMBRATEL;021;632397;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC02110022020_632397.rem;2;0;1;3;1;0;1;2;70,43;0,00;64,99;135,42
0;VIA EMBRATEL;021;632398;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC02110022020_632398.rem;19;0;4;23;8;0;4;12;1.214,66;0,00;296,67;1.511,33
0;VIA EMBRATEL;021;632399;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC02110022020_632399.rem;5;0;0;5;2;0;0;2;42,37;0,00;0,00;42,37
0;VIA EMBRATEL;021;632400;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC02110022020_632400.rem;6;0;1;7;2;0;1;3;270,04;0,00;256,36;526,40
0;VIA EMBRATEL;021;632401;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC02110022020_632401.rem;2;0;1;3;1;0;1;2;11,31;0,00;74,78;86,09
0;VIA EMBRATEL;021;632402;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC02110022020_632402.rem;24;0;3;27;9;0;3;12;1.669,97;0,00;870,48;2.540,45
