PADRAO;NOME_CIDADE;COD_OPERADORA;ID_REGISTRO_EMISSAO;ORIGEM;TIPO;VENCTO;EMISSAO;ARQUIVO;QTD_PAGE_NET;QTDE_PAGE_EMBRATEL;QTDE_PAGE_CLARO;QTDE_PAGE_TOTAL;QTD_COB_NET;QTDE_COB_EMBRATEL;QTDE_COB_CLARO;QTDE_COB_TOTAL;VALOR_NET;VALOR_EMBRATEL;VALOR_CLARO;VALOR_TOTAL
0;RIBEIRAO PRETO;005;1413300;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00515022020_1413300.rem;93;0;0;93;31;0;0;31;4.235,56;0,00;0,00;4.235,56
0;RIBEIRAO PRETO;005;1413301;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00515022020_1413301.rem;253;0;6;259;94;0;6;100;8.852,62;0,00;1.180,03;10.032,65
0;RIBEIRAO PRETO;005;1413302;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00515022020_1413302.rem;18;0;0;18;7;0;0;7;270,81;0,00;0,00;270,81
0;SAO JOSE DO RIO PRETO;006;1413130;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00615022020_1413130.rem;290;0;14;304;98;0;14;112;11.138,46;0,00;1.355,93;12.494,39
0;BAURU;008;1413110;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00815022020_1413110.rem;147;0;4;151;49;0;4;53;4.746,30;0,00;364,98;5.111,28
0;PIRACICABA;009;1413172;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00915022020_1413172.rem;139;0;4;143;48;0;4;52;4.100,53;0,00;254,05;4.354,58
0;CAMPO GRANDE;011;1413352;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC01115022020_1413352.rem;601;0;12;613;202;0;12;214;22.682,13;0,00;1.377,98;24.060,11
0;NOVA FRIBURGO;030;1412975;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC03015022020_1412975.rem;23;0;0;23;7;0;0;7;659,22;0,00;0,00;659,22
0;PRESIDENTE PRUDENTE;036;1413185;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC03615022020_1413185.rem;28;0;0;28;9;0;0;9;996,95;0,00;0,00;996,95
0;CAMPINAS;052;1413263;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC05215022020_1413263.rem;199;0;25;224;76;0;25;101;9.929,92;0,00;3.564,12;13.494,04
0;CAMPINAS;052;1413264;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC05215022020_1413264.rem;399;0;11;410;136;0;11;147;13.899,01;0,00;1.012,94;14.911,95
0;SAO CARLOS;053;1413147;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC05315022020_1413147.rem;248;0;5;253;62;0;5;67;5.913,10;0,00;825,05;6.738,15
0;INDAIATUBA;054;1413042;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC05415022020_1413042.rem;85;0;2;87;33;0;2;35;3.062,41;0,00;94,98;3.157,39
0;JUNDIAI;055;1413198;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC05515022020_1413198.rem;236;0;5;241;58;0;5;63;7.262,03;0,00;920,01;8.182,04
0;FRANCA;056;1413060;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC05615022020_1413060.rem;186;0;2;188;64;0;2;66;5.237,65;0,00;92,36;5.330,01
0;RIO BRANCO;066;1412825;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC06615022020_1412825.rem;76;0;1;77;26;0;1;27;2.172,61;0,00;567,68;2.740,29
0;RIBEIRAO PIRES;067;1413213;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC06715022020_1413213.rem;6;0;0;6;2;0;0;2;237,43;0,00;0,00;237,43
0;BRUSQUE;070;1413546;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC07015022020_1413546.rem;28;0;0;28;9;0;0;9;840,95;0,00;0,00;840,95
0;ITAPEMA;094;1413555;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC09415022020_1413555.rem;10;0;1;11;3;0;1;4;409,88;0,00;97,30;507,18
0;JUIZ DE FORA;126;1412797;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC12615022020_1412797.rem;94;0;3;97;32;0;3;35;2.539,95;0,00;639,65;3.179,60
0;CABEDELO;133;1412983;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC13315022020_1412983.rem;19;0;0;19;8;0;0;8;912,65;0,00;0,00;912,65
0;CARUARU;152;1412869;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC15215022020_1412869.rem;30;0;0;30;10;0;0;10;1.164,27;0,00;0,00;1.164,27
0;ITAJAI;193;1413524;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC19315022020_1413524.rem;115;0;0;115;40;0;0;40;3.027,65;0,00;0,00;3.027,65
0;MACAE;197;1412853;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC19715022020_1412853.rem;37;0;0;37;14;0;0;14;1.779,21;0,00;0,00;1.779,21
0;SUZANO;209;1413078;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC20915022020_1413078.rem;15;0;0;15;5;0;0;5;608,37;0,00;0,00;608,37
0;PORTO VELHO;220;1412836;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC22015022020_1412836.rem;116;0;3;119;43;0;3;46;4.289,50;0,00;166,48;4.455,98
0;PETROPOLIS;250;1412769;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC25015022020_1412769.rem;30;0;2;32;11;0;2;13;1.176,44;0,00;93,38;1.269,82
0;NAVEGANTES;260;1413514;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC26015022020_1413514.rem;4;0;0;4;1;0;0;1;101,90;0,00;0,00;101,90
0;MONTES CLAROS;275;1412802;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC27515022020_1412802.rem;11;0;0;11;3;0;0;3;254,99;0,00;0,00;254,99
0;PALHOCA;278;1413417;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC27815022020_1413417.rem;107;0;0;107;36;0;0;36;3.430,42;0,00;0,00;3.430,42
0;RIO DAS OSTRAS;285;1413221;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC28515022020_1413221.rem;24;0;0;24;9;0;0;9;1.192,29;0,00;0,00;1.192,29
0;ALMIRANTE TAMANDARE;294;1413210;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC29415022020_1413210.rem;3;0;0;3;1;0;0;1;50,83;0,00;0,00;50,83
0;SAO GONCALO;305;1413090;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC30515022020_1413090.rem;58;0;0;58;21;0;0;21;2.443,12;0,00;0,00;2.443,12
0;NOVA LIMA;312;1412958;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC31215022020_1412958.rem;6;0;0;6;4;0;0;4;62,12;0,00;0,00;62,12
0;SAPUCAIA DO SUL;332;1413565;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC33215022020_1413565.rem;30;0;2;32;11;0;2;13;1.056,17;0,00;552,59;1.608,76
0;ARAUCARIA;333;1413423;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC33315022020_1413423.rem;30;0;1;31;10;0;1;11;1.277,10;0,00;124,23;1.401,33
0;VITORIA DA CONQUISTA;336;1412944;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC33615022020_1412944.rem;10;0;0;10;3;0;0;3;246,82;0,00;0,00;246,82
0;TERESOPOLIS;338;1413071;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC33815022020_1413071.rem;36;0;1;37;12;0;1;13;1.194,83;0,00;142,90;1.337,73
0;VOLTA REDONDA;359;1413227;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC35915022020_1413227.rem;40;0;2;42;14;0;2;16;1.432,95;0,00;145,21;1.578,16
0;SAO JOSE;363;1413502;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC36315022020_1413502.rem;159;0;2;161;55;0;2;57;5.649,21;0,00;448,29;6.097,50
0;CAMPO LARGO;389;1413533;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC38915022020_1413533.rem;3;0;0;3;1;0;0;1;17,50;0,00;0,00;17,50
0;IPATINGA;405;1412891;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC40515022020_1412891.rem;13;0;0;13;5;0;0;5;486,47;0,00;0,00;486,47
0;COLOMBO;437;1413329;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC43715022020_1413329.rem;33;0;1;34;10;0;1;11;825,24;0,00;51,12;876,36
0;ARAGUARI;455;1412950;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC45515022020_1412950.rem;34;0;0;34;12;0;0;12;1.058,82;0,00;0,00;1.058,82
0;BETIM;514;1413006;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC51415022020_1413006.rem;16;0;0;16;6;0;0;6;669,61;0,00;0,00;669,61
0;CAMPOS DOS GOYTACAZES;529;1412994;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC52915022020_1412994.rem;41;0;2;43;15;0;2;17;1.686,20;0,00;257,32;1.943,52
0;PALMAS;540;1412913;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC54015022020_1412913.rem;90;0;0;90;32;0;0;32;2.309,86;0,00;0,00;2.309,86
0;SABARA;541;1412727;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC54115022020_1412727.rem;13;0;1;14;4;0;1;5;888,62;0,00;125,99;1.014,61
0;ARACAJU;550;1412745;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC55015022020_1412745.rem;187;0;4;191;64;0;4;68;6.412,07;0,00;432,74;6.844,81
0;SERRA;566;1412880;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC56615022020_1412880.rem;132;0;2;134;48;0;2;50;4.574,83;0,00;99,07;4.673,90
0;CANOAS;603;1413368;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC60315022020_1413368.rem;105;0;3;108;37;0;3;40;3.084,94;0,00;153,37;3.238,31
0;POA;609;1413159;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC60915022020_1413159.rem;13;0;0;13;6;0;0;6;421,63;0,00;0,00;421,63
0;SAO LEOPOLDO - CABO;710;1413619;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC71015022020_1413619.rem;24;0;0;24;9;0;0;9;784,42;0,00;0,00;784,42
0;GRAVATAI;720;1413466;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC72015022020_1413466.rem;19;0;0;19;6;0;0;6;476,94;0,00;0,00;476,94
0;SETE LAGOAS;742;1412933;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC74215022020_1412933.rem;20;0;0;20;7;0;0;7;811,56;0,00;0,00;811,56
0;CAMACARI;750;1412969;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC75015022020_1412969.rem;62;0;1;63;19;0;1;20;1.182,91;0,00;164,61;1.347,52
0;BALNEARIO CAMBORIU;752;1413382;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC75215022020_1413382.rem;108;0;1;109;38;0;1;39;4.567,15;0,00;56,61;4.623,76
0;CONTAGEM;753;1412776;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC75315022020_1412776.rem;48;0;0;48;18;0;0;18;1.632,14;0,00;0,00;1.632,14
0;ESTANCIA VELHA;757;1413435;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC75715022020_1413435.rem;4;0;0;4;2;0;0;2;19,83;0,00;0,00;19,83
