PADRAO;NOME_CIDADE;COD_OPERADORA;ID_REGISTRO_EMISSAO;ORIGEM;TIPO;VENCTO;EMISSAO;ARQUIVO;QTD_PAGE_NET;QTDE_PAGE_EMBRATEL;QTDE_PAGE_CLARO;QTDE_PAGE_TOTAL;QTD_COB_NET;QTDE_COB_EMBRATEL;QTDE_COB_CLARO;QTDE_COB_TOTAL;VALOR_NET;VALOR_EMBRATEL;VALOR_CLARO;VALOR_TOTAL
0;VILA VELHA;507;1535685;Primeira Via-PrintHouse;BOLETO;15/03/2020;29/01/2020;EC50715032020_1535685.rem;4;0;0;4;1;0;0;1;118,72;0,00;0,00;118,72
0;VITORIA;508;1535697;Primeira Via-PrintHouse;BOLETO;15/03/2020;29/01/2020;EC50815032020_1535697.rem;6;0;0;6;2;0;0;2;447,64;0,00;0,00;447,64
0;VILA VELHA;507;1535680;Primeira Via-PrintHouse;BOLETO;15/03/2020;29/01/2020;ER150715032020_1535680.rem;1;0;0;1;1;0;0;1;187,64;0,00;0,00;187,64
0;VITORIA;508;1535694;Primeira Via-PrintHouse;BOLETO;15/03/2020;29/01/2020;ER150815032020_1535694.rem;3;0;0;3;1;0;0;1;158,54;0,00;0,00;158,54
0;VILA VELHA;507;1535681;Primeira Via-PrintHouse;BOLETO;15/03/2020;29/01/2020;ER350715032020_1535681.rem;10;0;0;10;3;0;0;3;622,40;0,00;0,00;622,40
0;VITORIA;508;1535695;Primeira Via-PrintHouse;BOLETO;15/03/2020;29/01/2020;ER350815032020_1535695.rem;7;0;0;7;3;0;0;3;393,40;0,00;0,00;393,40
0;VILA VELHA;507;1535686;Primeira Via-PrintHouse;BOLETO;15/03/2020;29/01/2020;ETC50715032020_1535686.rem;91;0;0;91;33;0;0;33;9.400,77;0,00;0,00;9.400,77
0;VITORIA;508;1535699;Primeira Via-PrintHouse;BOLETO;15/03/2020;29/01/2020;ETC50815032020_1535699.rem;36;0;0;36;12;0;0;12;3.641,07;0,00;0,00;3.641,07
0;VITORIA;508;1535698;Primeira Via-PrintHouse;BOLETO;15/03/2020;29/01/2020;ETRZ50815032020_1535698.rem;3;0;0;3;1;0;0;1;270,30;0,00;0,00;270,30
0;VILA VELHA;507;1535682;Primeira Via-PrintHouse;BOLETO;15/03/2020;29/01/2020;ETR150715032020_1535682.rem;3;0;0;3;1;0;0;1;75,85;0,00;0,00;75,85
0;VILA VELHA;507;1535683;Primeira Via-PrintHouse;BOLETO;15/03/2020;29/01/2020;ETR350715032020_1535683.rem;3;0;0;3;1;0;0;1;262,89;0,00;0,00;262,89
0;VILA VELHA;507;1535684;Primeira Via-PrintHouse;BOLETO;15/03/2020;29/01/2020;ET50715032020_1535684.rem;151;0;0;151;53;0;0;53;15.052,94;0,00;0,00;15.052,94
0;VITORIA;508;1535696;Primeira Via-PrintHouse;BOLETO;15/03/2020;29/01/2020;ET50815032020_1535696.rem;105;0;0;105;36;0;0;36;9.000,53;0,00;0,00;9.000,53
0;VILA VELHA;507;1535679;Primeira Via-PrintHouse;BOLETO;15/03/2020;29/01/2020;E50715032020_1535679.rem;244;0;0;244;98;0;0;98;24.726,82;0,00;0,00;24.726,82
0;VITORIA;508;1535693;Primeira Via-PrintHouse;BOLETO;15/03/2020;29/01/2020;E50815032020_1535693.rem;148;0;0;148;58;0;0;58;11.290,39;0,00;0,00;11.290,39
0;VILA VELHA;507;1535691;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;29/01/2020;DC50715032020_1535691.rem;4;0;0;4;1;0;0;1;261,61;0,00;0,00;261,61
0;VITORIA;508;1535702;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;29/01/2020;DC50815032020_1535702.rem;3;0;0;3;1;0;0;1;49,99;0,00;0,00;49,99
0;VILA VELHA;507;1535689;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;29/01/2020;DR150715032020_1535689.rem;3;0;0;3;1;0;0;1;90,00;0,00;0,00;90,00
0;VILA VELHA;507;1535688;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;29/01/2020;DR350715032020_1535688.rem;4;0;0;4;2;0;0;2;164,69;0,00;0,00;164,69
0;VILA VELHA;507;1535692;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;29/01/2020;DTC50715032020_1535692.rem;128;0;0;128;41;0;0;41;11.684,66;0,00;0,00;11.684,66
0;VITORIA;508;1535703;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;29/01/2020;DTC50815032020_1535703.rem;80;0;0;80;29;0;0;29;9.977,96;0,00;0,00;9.977,96
0;VILA VELHA;507;1535690;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;29/01/2020;DT50715032020_1535690.rem;214;0;0;214;71;0;0;71;21.025,87;0,00;0,00;21.025,87
0;VITORIA;508;1535701;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;29/01/2020;DT50815032020_1535701.rem;98;0;0;98;35;0;0;35;10.550,04;0,00;0,00;10.550,04
0;VILA VELHA;507;1535687;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;29/01/2020;D50715032020_1535687.rem;110;0;0;110;51;0;0;51;12.980,27;0,00;0,00;12.980,27
0;VITORIA;508;1535700;Primeira Via-PrintHouse;DEBITO EM CONTA;15/03/2020;29/01/2020;D50815032020_1535700.rem;70;0;0;70;31;0;0;31;6.815,96;0,00;0,00;6.815,96
