PADRAO;NOME_CIDADE;COD_OPERADORA;ID_REGISTRO_EMISSAO;ORIGEM;TIPO;VENCTO;EMISSAO;ARQUIVO;QTD_PAGE_NET;QTDE_PAGE_EMBRATEL;QTDE_PAGE_CLARO;QTDE_PAGE_TOTAL;QTD_COB_NET;QTDE_COB_EMBRATEL;QTDE_COB_CLARO;QTDE_COB_TOTAL;VALOR_NET;VALOR_EMBRATEL;VALOR_CLARO;VALOR_TOTAL
0;SOROCABA;007;1551586;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC00720022020_1551586.rem;601;0;4;605;151;0;4;155;13.620,08;0,00;626,37;14.246,45
0;PORTO FELIZ;022;1551688;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC02220022020_1551688.rem;23;0;1;24;10;0;1;11;1.013,97;0,00;238,03;1.252,00
0;LAURO DE FREITAS;042;1551890;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC04220022020_1551890.rem;38;0;1;39;14;0;1;15;1.168,65;0,00;30,00;1.198,65
0;RAFARD;048;1551723;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC04820022020_1551723.rem;1;0;0;1;1;0;0;1;33,82;0,00;0,00;33,82
0;IMPERATRIZ;051;1551719;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC05120022020_1551719.rem;22;0;0;22;7;0;0;7;222,11;0,00;0,00;222,11
0;TERESINA;063;1552270;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC06320022020_1552270.rem;163;0;5;168;61;0;5;66;5.676,13;0,00;498,07;6.174,20
0;NATAL;095;1552244;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC09520022020_1552244.rem;249;0;4;253;93;0;4;97;8.923,30;0,00;242,42;9.165,72
0;SAO LUIS;096;1552038;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC09620022020_1552038.rem;186;0;4;190;71;0;4;75;7.770,50;0,00;851,05;8.621,55
0;FORTALEZA;097;1552319;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC09720022020_1552319.rem;188;0;2;190;65;0;2;67;7.464,27;0,00;546,46;8.010,73
0;BELFORD ROXO;105;1551864;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC10520022020_1551864.rem;63;0;1;64;24;0;1;25;2.065,09;0,00;220,65;2.285,74
0;DUQUE DE CAXIAS;161;1551840;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC16120022020_1551840.rem;28;0;1;29;12;0;1;13;1.514,46;0,00;83,08;1.597,54
0;ANANINDEUA;178;1552295;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC17820022020_1552295.rem;29;0;1;30;15;0;1;16;1.694,39;0,00;108,29;1.802,68
0;BELEM;194;1552213;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC19420022020_1552213.rem;286;0;4;290;100;0;4;104;12.274,69;0,00;448,98;12.723,67
0;SERTAOZINHO;195;1551646;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC19520022020_1551646.rem;62;0;4;66;23;0;4;27;2.086,77;0,00;201,47;2.288,24
0;TABOAO DA SERRA;216;1551495;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC21620022020_1551495.rem;30;0;2;32;10;0;2;12;822,11;0,00;367,61;1.189,72
0;NILOPOLIS;226;1551773;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC22620022020_1551773.rem;16;0;1;17;6;0;1;7;852,19;0,00;66,76;918,95
0;SALVADOR;230;1551899;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC23020022020_1551899.rem;218;0;5;223;85;0;5;90;9.422,76;0,00;522,43;9.945,19
0;NOVA IGUACU;237;1551785;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC23720022020_1551785.rem;3;0;0;3;1;0;0;1;9,33;0,00;0,00;9,33
0;NOVA IGUACU;237;1551786;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC23720022020_1551786.rem;122;0;2;124;46;0;2;48;3.897,97;0,00;89,74;3.987,71
0;MESQUITA;239;1551995;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC23920022020_1551995.rem;37;0;1;38;14;0;1;15;1.499,30;0,00;55,99;1.555,29
0;TIETE;241;1551463;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC24120022020_1551463.rem;8;0;2;10;4;0;2;6;544,46;0,00;835,69;1.380,15
0;VALINHOS;272;1551701;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC27220022020_1551701.rem;48;0;0;48;16;0;0;16;2.314,88;0,00;0,00;2.314,88
0;VARGEM GRANDE PAULISTA;276;1551513;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC27620022020_1551513.rem;14;0;1;15;5;0;1;6;501,32;0,00;64,99;566,31
0;SALTO;295;1551706;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC29520022020_1551706.rem;15;0;1;16;6;0;1;7;998,29;0,00;20,99;1.019,28
0;SAO JOSE DO RIO PARDO;315;1551664;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC31520022020_1551664.rem;3;0;0;3;1;0;0;1;39,41;0,00;0,00;39,41
0;SAO JOAO DE MERITI;316;1551821;Primeira Via-PrintHouse;BOLETO;20/02/2020;06/02/2020;EC31620022020_1551821.rem;17;0;0;17;6;0;0;6;813,29;0,00;0,00;813,29
