PADRAO;NOME_CIDADE;COD_OPERADORA;ID_REGISTRO_EMISSAO;ORIGEM;TIPO;VENCTO;EMISSAO;ARQUIVO;QTD_PAGE_NET;QTDE_PAGE_EMBRATEL;QTDE_PAGE_CLARO;QTDE_PAGE_TOTAL;QTD_COB_NET;QTDE_COB_EMBRATEL;QTDE_COB_CLARO;QTDE_COB_TOTAL;VALOR_NET;VALOR_EMBRATEL;VALOR_CLARO;VALOR_TOTAL
0;SAO PAULO;003;474687;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00315022020_474687.rem;6254;0;137;6391;1518;0;137;1655;195.818,78;0,00;24.029,54;219.848,32
0;SAO PAULO;003;474688;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00315022020_474688.rem;33;0;1;34;9;0;1;10;999,80;0,00;65,79;1.065,59
0;SAO PAULO;003;474689;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00315022020_474689.rem;49;0;4;53;12;0;4;16;1.153,75;0,00;467,50;1.621,25
0;SAO PAULO;003;474690;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00315022020_474690.rem;129;0;4;133;30;0;4;34;4.749,00;0,00;621,32;5.370,32
0;SAO PAULO;003;474691;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00315022020_474691.rem;87;0;2;89;21;0;2;23;3.096,98;0,00;52,68;3.149,66
0;SAO PAULO;003;474692;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00315022020_474692.rem;93;0;3;96;22;0;3;25;1.854,97;0,00;248,05;2.103,02
0;SAO PAULO;003;474693;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00315022020_474693.rem;41;0;2;43;10;0;2;12;892,10;0,00;265,84;1.157,94
0;SAO PAULO;003;474694;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00315022020_474694.rem;37;0;4;41;10;0;4;14;1.716,50;0,00;815,34;2.531,84
0;SAO PAULO;003;474695;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00315022020_474695.rem;163;0;0;163;39;0;0;39;7.572,06;0,00;0,00;7.572,06
0;SAO PAULO;003;474696;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00315022020_474696.rem;37;0;4;41;10;0;4;14;1.855,88;0,00;901,31;2.757,19
0;SAO PAULO;003;474697;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00315022020_474697.rem;48;0;4;52;12;0;4;16;1.862,39;0,00;1.246,99;3.109,38
0;SAO PAULO;003;474738;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ERX00315022020_474738.rem;125;0;8;133;29;0;8;37;3.150,64;0,00;1.202,06;4.352,70
0;SAO PAULO;003;474739;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ERZ00315022020_474739.rem;99;0;13;112;23;0;13;36;4.076,36;0,00;2.348,18;6.424,54
0;SAO PAULO;003;474698;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER1C00315022020_474698.rem;92;0;0;92;23;0;0;23;4.014,72;0,00;0,00;4.014,72
0;SAO PAULO;003;474570;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER100315022020_474570.rem;3885;0;0;3885;795;0;0;795;131.501,53;0,00;0,00;131.501,53
0;SAO PAULO;003;474571;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER100315022020_474571.rem;3409;0;1;3410;1000;0;1;1001;193.291,50;0,00;179,99;193.471,49
0;SAO PAULO;003;474572;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER100315022020_474572.rem;3605;0;0;3605;1000;0;0;1000;163.653,41;0,00;0,00;163.653,41
0;SAO PAULO;003;474573;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER100315022020_474573.rem;3656;0;0;3656;1000;0;0;1000;152.507,05;0,00;0,00;152.507,05
0;SAO PAULO;003;474574;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER100315022020_474574.rem;3924;0;0;3924;1000;0;0;1000;153.404,32;0,00;0,00;153.404,32
0;SAO PAULO;003;474575;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER100315022020_474575.rem;55;0;0;55;15;0;0;15;2.981,93;0,00;0,00;2.981,93
0;SAO PAULO;003;474699;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER3C00315022020_474699.rem;98;0;0;98;24;0;0;24;5.314,51;0,00;0,00;5.314,51
0;SAO PAULO;003;474576;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER300315022020_474576.rem;5554;0;0;5554;1281;0;0;1281;183.228,26;0,00;0,00;183.228,26
0;SAO PAULO;003;474577;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER300315022020_474577.rem;3378;0;0;3378;1000;0;0;1000;206.719,75;0,00;0,00;206.719,75
0;SAO PAULO;003;474578;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER300315022020_474578.rem;3532;0;0;3532;1000;0;0;1000;172.686,51;0,00;0,00;172.686,51
0;SAO PAULO;003;474579;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER300315022020_474579.rem;3639;0;1;3640;1001;0;1;1002;162.837,17;0,00;54,99;162.892,16
0;SAO PAULO;003;474580;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER300315022020_474580.rem;16;0;0;16;4;0;0;4;849,00;0,00;0,00;849,00
0;SAO PAULO;003;474706;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ETC00315022020_474706.rem;923;217;238;1378;242;190;226;658;54.768,78;5.391,54;33.437,24;93.597,56
0;SAO PAULO;003;474707;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ETC00315022020_474707.rem;4504;626;918;6048;1023;538;916;2477;182.599,35;8.965,83;73.639,09;265.204,27
0;SAO PAULO;003;474710;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ETC00315022020_474710.rem;1764;447;421;2632;442;368;405;1215;99.726,24;11.700,52;56.156,79;167.583,55
0;SAO PAULO;003;474711;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ETC00315022020_474711.rem;1782;324;462;2568;422;296;403;1121;74.350,09;7.719,07;35.989,86;118.059,02
0;SAO PAULO;003;474712;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ETC00315022020_474712.rem;2180;540;534;3254;537;420;518;1475;117.109,63;13.576,23;73.221,16;203.907,02
0;SAO PAULO;003;474713;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ETC00315022020_474713.rem;1886;426;509;2821;450;361;456;1267;90.152,15;9.583,57;46.608,71;146.344,43
0;SAO PAULO;003;474714;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ETC00315022020_474714.rem;1384;410;332;2126;351;297;328;976;86.058,97;11.596,19;53.316,01;150.971,17
0;SAO PAULO;003;474715;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ETC00315022020_474715.rem;865;241;217;1323;208;177;190;575;49.987,04;6.139,37;31.301,48;87.427,89
0;SAO PAULO;003;474716;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ETC00315022020_474716.rem;2982;335;721;4038;687;332;702;1721;138.436,92;5.891,69;59.229,59;203.558,20
