PADRAO;NOME_CIDADE;COD_OPERADORA;ID_REGISTRO_EMISSAO;ORIGEM;TIPO;VENCTO;EMISSAO;ARQUIVO;QTD_PAGE_NET;QTDE_PAGE_EMBRATEL;QTDE_PAGE_CLARO;QTDE_PAGE_TOTAL;QTD_COB_NET;QTDE_COB_EMBRATEL;QTDE_COB_CLARO;QTDE_COB_TOTAL;VALOR_NET;VALOR_EMBRATEL;VALOR_CLARO;VALOR_TOTAL
0;POCOS DE CALDAS;037;1173596;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC03710022020_1173596.rem;52;0;1;53;18;0;1;19;1.868,46;0,00;51,08;1.919,54
0;BIGUACU;058;1173798;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC05810022020_1173798.rem;5;0;0;5;2;0;0;2;84,99;0,00;0,00;84,99
0;SANTA MARIA;075;1174185;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC07510022020_1174185.rem;217;0;5;222;75;0;5;80;7.525,97;0,00;622,96;8.148,93
0;PORTO ALEGRE - CABO;078;1174242;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC07810022020_1174242.rem;987;0;36;1023;338;0;36;374;47.106,13;0,00;3.521,52;50.627,65
0;PORTO ALEGRE - CABO;078;1174243;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC07810022020_1174243.rem;3;0;0;3;1;0;0;1;362,18;0,00;0,00;362,18
0;PORTO ALEGRE - CABO;078;1174244;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC07810022020_1174244.rem;15;0;1;16;6;0;1;7;1.267,06;0,00;56,26;1.323,32
0;PORTO ALEGRE - CABO;078;1174245;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC07810022020_1174245.rem;8;0;2;10;3;0;2;5;1.376,58;0,00;525,90;1.902,48
0;PORTO ALEGRE - CABO;078;1174246;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC07810022020_1174246.rem;25;0;1;26;7;0;1;8;1.572,61;0,00;534,97;2.107,58
0;PORTO ALEGRE - CABO;078;1174247;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC07810022020_1174247.rem;12;0;0;12;4;0;0;4;290,61;0,00;0,00;290,61
0;PORTO ALEGRE - CABO;078;1174248;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC07810022020_1174248.rem;26;0;1;27;8;0;1;9;458,30;0,00;420,74;879,04
0;PORTO ALEGRE - CABO;078;1174249;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC07810022020_1174249.rem;7;0;0;7;2;0;0;2;152,72;0,00;0,00;152,72
0;PORTO ALEGRE - CABO;078;1174250;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC07810022020_1174250.rem;269;0;0;269;97;0;0;97;8.509,97;0,00;0,00;8.509,97
0;PORTO ALEGRE - CABO;078;1174251;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC07810022020_1174251.rem;23;0;3;26;9;0;3;12;1.119,21;0,00;800,98;1.920,19
0;FARROUPILHA;083;1174029;Primeira Via-PrintHouse;BOLETO;10/02/2020;23/01/2020;EC08310022020_1174029.rem;13;0;1;14;7;0;1;8;876,90;0,00;120,35;997,25
