COD_OPERADORA;NOME_CIDADE;TIPO;ID_REGISTRO_EMISSAO;EMISSAO;VENCTO;ORIGEM;ARQUIVO;NOME_PARCEIRO;QTDE_PAGE_TOTAL;QTDE_COB_TOTAL;VALOR_TOTAL
013;BELO HORIZONTE;BOLETO;182331;22/01/2020;10/03/2020;Primeira Via-PrintHouse;EC01310032020_182331.rem;NET;7;3;523,22
013;BELO HORIZONTE;BOLETO;182328;22/01/2020;10/03/2020;Primeira Via-PrintHouse;ER101310032020_182328.rem;NET;3;1;270,35
013;BELO HORIZONTE;BOLETO;182333;22/01/2020;10/03/2020;Primeira Via-PrintHouse;ETC01310032020_182333.rem;NET;42;16;4.738,30
013;BELO HORIZONTE;BOLETO;182332;22/01/2020;10/03/2020;Primeira Via-PrintHouse;ETRZ01310032020_182332.rem;NET;1;1;341,51
013;BELO HORIZONTE;BOLETO;182329;22/01/2020;10/03/2020;Primeira Via-PrintHouse;ETR301310032020_182329.rem;NET;8;3;528,96
013;BELO HORIZONTE;BOLETO;182330;22/01/2020;10/03/2020;Primeira Via-PrintHouse;ET01310032020_182330.rem;NET;155;52;15.332,51
013;BELO HORIZONTE;BOLETO;182327;22/01/2020;10/03/2020;Primeira Via-PrintHouse;E01310032020_182327.rem;NET;89;35;10.353,12
013;BELO HORIZONTE;DEBITO EM CONTA;182339;22/01/2020;10/03/2020;Primeira Via-PrintHouse;DC01310032020_182339.rem;NET;4;1;278,91
013;BELO HORIZONTE;DEBITO EM CONTA;182335;22/01/2020;10/03/2020;Primeira Via-PrintHouse;DR101310032020_182335.rem;NET;4;1;599,84
013;BELO HORIZONTE;DEBITO EM CONTA;182336;22/01/2020;10/03/2020;Primeira Via-PrintHouse;DR301310032020_182336.rem;NET;7;2;923,71
013;BELO HORIZONTE;DEBITO EM CONTA;182340;22/01/2020;10/03/2020;Primeira Via-PrintHouse;DTC01310032020_182340.rem;NET;65;24;7.283,77
013;BELO HORIZONTE;DEBITO EM CONTA;182337;22/01/2020;10/03/2020;Primeira Via-PrintHouse;DTR101310032020_182337.rem;NET;3;1;184,88
013;BELO HORIZONTE;DEBITO EM CONTA;182338;22/01/2020;10/03/2020;Primeira Via-PrintHouse;DT01310032020_182338.rem;NET;191;69;20.218,14
013;BELO HORIZONTE;DEBITO EM CONTA;182334;22/01/2020;10/03/2020;Primeira Via-PrintHouse;D01310032020_182334.rem;NET;74;35;11.856,64


**********
FATURAS EBT CONTESTADAS/ALTERADAS
COD_OPERADORA;NOME_CIDADE;NUM_CONTRATO;ID_COBRANCA_PARCEIRO;NOME_PARCEIRO;VALOR_TOTAL;STATUS_COBRANCA
FIM
