COD_OPERADORA;NOME_CIDADE;TIPO;ID_REGISTRO_EMISSAO;EMISSAO;VENCTO;ORIGEM;ARQUIVO;NOME_PARCEIRO;QTDE_PAGE_TOTAL;QTDE_COB_TOTAL;VALOR_TOTAL
013;BELO HORIZONTE;BOLETO;177458;27/12/2019;15/02/2020;Primeira Via-PrintHouse;EC01315022020_177458.rem;NET;3;1;234,98
013;BELO HORIZONTE;BOLETO;177453;27/12/2019;15/02/2020;Primeira Via-PrintHouse;ER101315022020_177453.rem;NET;10;4;669,09
013;BELO HORIZONTE;BOLETO;177454;27/12/2019;15/02/2020;Primeira Via-PrintHouse;ER301315022020_177454.rem;NET;7;3;794,21
013;BELO HORIZONTE;BOLETO;177460;27/12/2019;15/02/2020;Primeira Via-PrintHouse;ETC01315022020_177460.rem;NET;113;40;13.270,54
013;BELO HORIZONTE;BOLETO;177459;27/12/2019;15/02/2020;Primeira Via-PrintHouse;ETRX01315022020_177459.rem;NET;7;2;656,78
013;BELO HORIZONTE;BOLETO;177455;27/12/2019;15/02/2020;Primeira Via-PrintHouse;ETR101315022020_177455.rem;NET;17;6;1.855,79
013;BELO HORIZONTE;BOLETO;177456;27/12/2019;15/02/2020;Primeira Via-PrintHouse;ETR301315022020_177456.rem;NET;1;1;289,98
013;BELO HORIZONTE;BOLETO;177457;27/12/2019;15/02/2020;Primeira Via-PrintHouse;ET01315022020_177457.rem;NET;324;114;34.315,99
013;BELO HORIZONTE;BOLETO;177452;27/12/2019;15/02/2020;Primeira Via-PrintHouse;E01315022020_177452.rem;NET;277;120;37.531,44
013;BELO HORIZONTE;BOLETO;183345;28/01/2020;15/02/2020;Primeira Via-PrintHouse;EC01315022020_183345.rem;CLARO;23;23;2.923,54
013;BELO HORIZONTE;BOLETO;183345;28/01/2020;15/02/2020;Primeira Via-PrintHouse;EC01315022020_183345.rem;NET;1617;391;42.348,06
013;BELO HORIZONTE;BOLETO;183346;28/01/2020;15/02/2020;Primeira Via-PrintHouse;EC01315022020_183346.rem;NET;105;27;2.219,32
