COD_OPERADORA;NOME_CIDADE;TIPO;ID_REGISTRO_EMISSAO;EMISSAO;VENCTO;ORIGEM;ARQUIVO;NOME_PARCEIRO;QTDE_PAGE_TOTAL;QTDE_COB_TOTAL;VALOR_TOTAL
004;SANTOS;BOLETO;670398;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC00410022020_670398.rem;NET;571;142;21.242,04
004;SANTOS;BOLETO;670398;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC00410022020_670398.rem;CLARO;15;15;2.350,22
010;GOIANIA;BOLETO;670635;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC01010022020_670635.rem;NET;1508;522;60.761,05
010;GOIANIA;BOLETO;670635;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC01010022020_670635.rem;CLARO;37;37;7.358,33
015;ANAPOLIS;BOLETO;670358;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC01510022020_670358.rem;NET;165;60;5.955,64
015;ANAPOLIS;BOLETO;670358;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC01510022020_670358.rem;CLARO;5;5;145,25
038;RIO DE JANEIRO;BOLETO;670875;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670875.rem;CLARO;90;90;15.297,43
038;RIO DE JANEIRO;BOLETO;670875;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670875.rem;NET;1201;297;65.098,98
038;RIO DE JANEIRO;BOLETO;670877;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670877.rem;NET;64;22;3.085,62
038;RIO DE JANEIRO;BOLETO;670877;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670877.rem;CLARO;1;1;255,97
038;RIO DE JANEIRO;BOLETO;670878;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670878.rem;CLARO;2;2;494,56
038;RIO DE JANEIRO;BOLETO;670878;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670878.rem;NET;35;12;2.693,16
038;RIO DE JANEIRO;BOLETO;670890;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670890.rem;CLARO;17;17;2.065,97
038;RIO DE JANEIRO;BOLETO;670890;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670890.rem;NET;2522;857;111.009,77
038;RIO DE JANEIRO;BOLETO;670891;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670891.rem;CLARO;60;60;8.001,59
038;RIO DE JANEIRO;BOLETO;670891;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670891.rem;NET;1016;378;54.857,97
038;RIO DE JANEIRO;BOLETO;670892;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670892.rem;NET;58;24;2.983,14
038;RIO DE JANEIRO;BOLETO;670892;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670892.rem;CLARO;7;7;544,58
038;RIO DE JANEIRO;BOLETO;670893;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670893.rem;NET;3;1;120,95
038;RIO DE JANEIRO;BOLETO;670894;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670894.rem;CLARO;4;4;535,54
038;RIO DE JANEIRO;BOLETO;670894;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670894.rem;NET;70;25;3.630,69
038;RIO DE JANEIRO;BOLETO;670895;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670895.rem;CLARO;3;3;734,59
038;RIO DE JANEIRO;BOLETO;670895;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670895.rem;NET;36;15;1.813,58
038;RIO DE JANEIRO;BOLETO;670896;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670896.rem;CLARO;2;2;297,84
038;RIO DE JANEIRO;BOLETO;670896;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03810022020_670896.rem;NET;83;29;2.884,02
040;BRASILIA;BOLETO;670498;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC04010022020_670498.rem;CLARO;37;37;5.840,97
040;BRASILIA;BOLETO;670498;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC04010022020_670498.rem;NET;1784;626;73.415,61
040;BRASILIA;BOLETO;670499;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC04010022020_670499.rem;NET;94;29;3.652,83
040;BRASILIA;BOLETO;670500;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC04010022020_670500.rem;NET;446;169;25.187,69
040;BRASILIA;BOLETO;670500;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC04010022020_670500.rem;CLARO;43;43;8.067,14
160;VALPARAISO DE GOIAS;BOLETO;670682;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC16010022020_670682.rem;NET;41;14;930,68
228;NITEROI;BOLETO;670319;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC22810022020_670319.rem;CLARO;7;7;925,66
228;NITEROI;BOLETO;670319;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC22810022020_670319.rem;NET;268;96;11.599,25
004;SANTOS;BOLETO;670406;23/01/2020;10/02/2020;Primeira Via-PrintHouse;ERX00410022020_670406.rem;CLARO;2;2;104,98
004;SANTOS;BOLETO;670406;23/01/2020;10/02/2020;Primeira Via-PrintHouse;ERX00410022020_670406.rem;NET;12;4;678,60
010;GOIANIA;BOLETO;670653;23/01/2020;10/02/2020;Primeira Via-PrintHouse;ERX01010022020_670653.rem;NET;32;12;914,54
010;GOIANIA;BOLETO;670653;23/01/2020;10/02/2020;Primeira Via-PrintHouse;ERX01010022020_670653.rem;CLARO;5;5;703,71
015;ANAPOLIS;BOLETO;670364;23/01/2020;10/02/2020;Primeira Via-PrintHouse;ERX01510022020_670364.rem;NET;4;1;0,00
038;RIO DE JANEIRO;BOLETO;671083;23/01/2020;10/02/2020;Primeira Via-PrintHouse;ERX03810022020_671083.rem;CLARO;6;6;553,13
