COD_OPERADORA;NOME_CIDADE;TIPO;ID_REGISTRO_EMISSAO;EMISSAO;VENCTO;ORIGEM;ARQUIVO;NOME_PARCEIRO;QTDE_PAGE_TOTAL;QTDE_COB_TOTAL;VALOR_TOTAL
027;PRAIA GRANDE;BOLETO;1629236;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC02720022020_1629236.rem;CLARO;3;3;658,33
027;PRAIA GRANDE;BOLETO;1629236;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC02720022020_1629236.rem;NET;133;52;7.122,71
076;RIO CLARO;BOLETO;1629260;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07620022020_1629260.rem;CLARO;2;2;725,63
076;RIO CLARO;BOLETO;1629260;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07620022020_1629260.rem;NET;49;21;2.800,21
100;BARRA MANSA;BOLETO;1629621;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC10020022020_1629621.rem;NET;5;2;210,98
103;SANTA BARBARA DOESTE;BOLETO;1629244;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC10320022020_1629244.rem;NET;77;30;3.560,63
103;SANTA BARBARA DOESTE;BOLETO;1629244;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC10320022020_1629244.rem;CLARO;1;1;394,92
116;ARMACAO DOS BUZIOS;BOLETO;1629582;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC11620022020_1629582.rem;NET;7;2;252,64
121;MANAUS;BOLETO;1629649;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC12120022020_1629649.rem;CLARO;22;22;1.953,12
121;MANAUS;BOLETO;1629649;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC12120022020_1629649.rem;NET;618;220;33.436,69
129;SANTO ANDRE;BOLETO;1629274;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC12920022020_1629274.rem;CLARO;9;9;886,16
129;SANTO ANDRE;BOLETO;1629274;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC12920022020_1629274.rem;NET;285;106;10.407,83
136;RECIFE;BOLETO;1629185;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC13620022020_1629185.rem;CLARO;8;8;1.344,69
136;RECIFE;BOLETO;1629185;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC13620022020_1629185.rem;NET;230;79;7.752,49
