COD_OPERADORA;NOME_CIDADE;TIPO;ID_REGISTRO_EMISSAO;EMISSAO;VENCTO;ORIGEM;ARQUIVO;NOME_PARCEIRO;QTDE_PAGE_TOTAL;QTDE_COB_TOTAL;VALOR_TOTAL
021;VIA EMBRATEL;BOLETO;632393;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632393.rem;NET;1397;607;77.601,78
021;VIA EMBRATEL;BOLETO;632393;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632393.rem;CLARO;165;165;19.468,77
021;VIA EMBRATEL;BOLETO;632394;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632394.rem;NET;7;3;525,40
021;VIA EMBRATEL;BOLETO;632394;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632394.rem;CLARO;1;1;33,48
021;VIA EMBRATEL;BOLETO;632395;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632395.rem;CLARO;1;1;47,99
021;VIA EMBRATEL;BOLETO;632395;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632395.rem;NET;5;2;131,52
021;VIA EMBRATEL;BOLETO;632396;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632396.rem;CLARO;2;2;83,26
021;VIA EMBRATEL;BOLETO;632396;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632396.rem;NET;24;11;2.175,92
021;VIA EMBRATEL;BOLETO;632397;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632397.rem;CLARO;1;1;64,99
021;VIA EMBRATEL;BOLETO;632397;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632397.rem;NET;2;1;70,43
021;VIA EMBRATEL;BOLETO;632398;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632398.rem;NET;19;8;1.214,66
021;VIA EMBRATEL;BOLETO;632398;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632398.rem;CLARO;4;4;296,67
021;VIA EMBRATEL;BOLETO;632399;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632399.rem;NET;5;2;42,37
021;VIA EMBRATEL;BOLETO;632400;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632400.rem;CLARO;1;1;256,36
021;VIA EMBRATEL;BOLETO;632400;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632400.rem;NET;6;2;270,04
021;VIA EMBRATEL;BOLETO;632401;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632401.rem;NET;2;1;11,31
021;VIA EMBRATEL;BOLETO;632401;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632401.rem;CLARO;1;1;74,78
021;VIA EMBRATEL;BOLETO;632402;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632402.rem;NET;24;9;1.669,97
021;VIA EMBRATEL;BOLETO;632402;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02110022020_632402.rem;CLARO;3;3;870,48
