COD_OPERADORA;NOME_CIDADE;TIPO;ID_REGISTRO_EMISSAO;EMISSAO;VENCTO;ORIGEM;ARQUIVO;NOME_PARCEIRO;QTDE_PAGE_TOTAL;QTDE_COB_TOTAL;VALOR_TOTAL
005;RIBEIRAO PRETO;BOLETO;1429172;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00520022020_1429172.rem;CLARO;16;16;2.438,49
005;RIBEIRAO PRETO;BOLETO;1429172;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00520022020_1429172.rem;NET;339;136;14.220,51
006;SAO JOSE DO RIO PRETO;BOLETO;1429094;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00620022020_1429094.rem;NET;167;62;6.479,65
006;SAO JOSE DO RIO PRETO;BOLETO;1429094;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00620022020_1429094.rem;CLARO;2;2;281,43
006;SAO JOSE DO RIO PRETO;BOLETO;1429095;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00620022020_1429095.rem;NET;2;1;144,88
008;BAURU;BOLETO;1428830;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00820022020_1428830.rem;CLARO;4;4;1.033,12
008;BAURU;BOLETO;1428830;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00820022020_1428830.rem;NET;127;47;5.151,32
009;PIRACICABA;BOLETO;1429049;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00920022020_1429049.rem;NET;127;48;5.419,73
009;PIRACICABA;BOLETO;1429049;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00920022020_1429049.rem;CLARO;2;2;529,14
011;CAMPO GRANDE;BOLETO;1429189;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC01120022020_1429189.rem;NET;301;110;12.828,79
011;CAMPO GRANDE;BOLETO;1429189;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC01120022020_1429189.rem;CLARO;10;10;1.630,24
030;NOVA FRIBURGO;BOLETO;1428858;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC03020022020_1428858.rem;NET;13;4;158,88
036;PRESIDENTE PRUDENTE;BOLETO;1429103;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC03620022020_1429103.rem;NET;26;8;292,38
052;CAMPINAS;BOLETO;1428934;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC05220022020_1428934.rem;CLARO;27;27;3.484,27
052;CAMPINAS;BOLETO;1428934;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC05220022020_1428934.rem;NET;471;170;20.719,88
052;CAMPINAS;BOLETO;1428935;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC05220022020_1428935.rem;CLARO;4;4;386,77
052;CAMPINAS;BOLETO;1428935;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC05220022020_1428935.rem;NET;32;13;1.528,35
052;CAMPINAS;BOLETO;1428936;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC05220022020_1428936.rem;NET;16;6;1.119,40
052;CAMPINAS;BOLETO;1428936;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC05220022020_1428936.rem;CLARO;2;2;97,91
053;SAO CARLOS;BOLETO;1429075;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC05320022020_1429075.rem;NET;252;67;6.124,64
053;SAO CARLOS;BOLETO;1429075;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC05320022020_1429075.rem;CLARO;4;4;349,71
054;INDAIATUBA;BOLETO;1428996;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC05420022020_1428996.rem;NET;51;19;1.860,77
054;INDAIATUBA;BOLETO;1428996;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC05420022020_1428996.rem;CLARO;3;3;729,84
055;JUNDIAI;BOLETO;1429134;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC05520022020_1429134.rem;CLARO;6;6;1.029,39
055;JUNDIAI;BOLETO;1429134;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC05520022020_1429134.rem;NET;242;61;7.377,83
056;FRANCA;BOLETO;1429016;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC05620022020_1429016.rem;NET;112;47;3.823,54
056;FRANCA;BOLETO;1429016;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC05620022020_1429016.rem;CLARO;3;3;290,49
066;RIO BRANCO;BOLETO;1428670;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC06620022020_1428670.rem;NET;38;14;1.513,65
066;RIO BRANCO;BOLETO;1428670;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC06620022020_1428670.rem;CLARO;1;1;112,54
067;RIBEIRAO PIRES;BOLETO;1429151;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC06720022020_1429151.rem;NET;6;2;101,99
126;JUIZ DE FORA;BOLETO;1428643;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC12620022020_1428643.rem;NET;87;33;2.532,32
126;JUIZ DE FORA;BOLETO;1428643;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC12620022020_1428643.rem;CLARO;3;3;171,62
133;CABEDELO;BOLETO;1428736;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC13320022020_1428736.rem;NET;15;4;407,35
152;CARUARU;BOLETO;1428708;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC15220022020_1428708.rem;NET;18;6;799,19
197;MACAE;BOLETO;1428839;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC19720022020_1428839.rem;NET;75;27;3.649,74
197;MACAE;BOLETO;1428839;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC19720022020_1428839.rem;CLARO;1;1;49,38
209;SUZANO;BOLETO;1429036;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC20920022020_1429036.rem;NET;21;7;675,63
220;PORTO VELHO;BOLETO;1428685;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC22020022020_1428685.rem;NET;78;27;1.886,08
250;PETROPOLIS;BOLETO;1428794;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC25020022020_1428794.rem;CLARO;1;1;192,41
250;PETROPOLIS;BOLETO;1428794;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC25020022020_1428794.rem;NET;25;9;1.256,75
275;MONTES CLAROS;BOLETO;1428651;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC27520022020_1428651.rem;NET;15;5;294,97
285;RIO DAS OSTRAS;BOLETO;1428893;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC28520022020_1428893.rem;NET;16;7;798,35
305;SAO GONCALO;BOLETO;1428815;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC30520022020_1428815.rem;NET;55;20;2.470,87
305;SAO GONCALO;BOLETO;1428815;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC30520022020_1428815.rem;CLARO;1;1;47,99
312;NOVA LIMA;BOLETO;1428695;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC31220022020_1428695.rem;NET;17;7;693,95
333;ARAUCARIA;BOLETO;1429114;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC33320022020_1429114.rem;NET;18;6;296,77
336;VITORIA DA CONQUISTA;BOLETO;1428604;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC33620022020_1428604.rem;NET;6;2;62,16
336;VITORIA DA CONQUISTA;BOLETO;1428604;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC33620022020_1428604.rem;CLARO;1;1;54,89
338;TERESOPOLIS;BOLETO;1428805;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC33820022020_1428805.rem;CLARO;1;1;231,17
338;TERESOPOLIS;BOLETO;1428805;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC33820022020_1428805.rem;NET;34;12;2.895,10
359;VOLTA REDONDA;BOLETO;1428953;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC35920022020_1428953.rem;NET;33;11;769,00
389;CAMPO LARGO;BOLETO;1429026;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC38920022020_1429026.rem;NET;3;1;29,16
405;IPATINGA;BOLETO;1428726;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC40520022020_1428726.rem;NET;11;5;643,83
437;COLOMBO;BOLETO;1429200;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC43720022020_1429200.rem;CLARO;1;1;54,99
437;COLOMBO;BOLETO;1429200;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC43720022020_1429200.rem;NET;16;4;456,68
455;ARAGUARI;BOLETO;1428677;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC45520022020_1428677.rem;NET;14;6;437,14
514;BETIM;BOLETO;1428764;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC51420022020_1428764.rem;NET;17;7;438,33
529;CAMPOS DOS GOYTACAZES;BOLETO;1428883;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC52920022020_1428883.rem;NET;21;9;788,96
540;PALMAS;BOLETO;1428750;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC54020022020_1428750.rem;NET;77;33;1.321,08
