COD_OPERADORA;NOME_CIDADE;TIPO;ID_REGISTRO_EMISSAO;EMISSAO;VENCTO;ORIGEM;ARQUIVO;NOME_PARCEIRO;QTDE_PAGE_TOTAL;QTDE_COB_TOTAL;VALOR_TOTAL
007;SOROCABA;BOLETO;1521712;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC00710022020_1521712.rem;NET;833;207;21.806,44
007;SOROCABA;BOLETO;1521712;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC00710022020_1521712.rem;CLARO;16;16;1.406,02
007;SOROCABA;BOLETO;1521713;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC00710022020_1521713.rem;NET;4;1;137,95
022;PORTO FELIZ;BOLETO;1521839;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02210022020_1521839.rem;NET;27;8;1.006,42
024;POTIM;BOLETO;1521773;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02410022020_1521773.rem;NET;3;1;55,99
025;PRESIDENTE BERNARDES;BOLETO;1521950;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC02510022020_1521950.rem;NET;3;1;45,00
042;LAURO DE FREITAS;BOLETO;1521066;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC04210022020_1521066.rem;CLARO;1;1;159,98
042;LAURO DE FREITAS;BOLETO;1521066;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC04210022020_1521066.rem;NET;62;21;2.221,13
048;RAFARD;BOLETO;1521885;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC04810022020_1521885.rem;NET;4;1;84,99
051;IMPERATRIZ;BOLETO;1522187;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC05110022020_1522187.rem;NET;30;10;804,45
063;TERESINA;BOLETO;1521216;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC06310022020_1521216.rem;NET;198;67;8.014,37
063;TERESINA;BOLETO;1521216;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC06310022020_1521216.rem;CLARO;4;4;376,09
095;NATAL;BOLETO;1521176;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC09510022020_1521176.rem;NET;421;142;16.548,63
095;NATAL;BOLETO;1521176;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC09510022020_1521176.rem;CLARO;8;8;1.408,97
096;SAO LUIS;BOLETO;1521050;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC09610022020_1521050.rem;NET;565;185;22.379,35
096;SAO LUIS;BOLETO;1521050;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC09610022020_1521050.rem;CLARO;13;13;1.827,32
097;FORTALEZA;BOLETO;1521275;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC09710022020_1521275.rem;NET;503;174;19.187,39
097;FORTALEZA;BOLETO;1521275;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC09710022020_1521275.rem;CLARO;11;11;1.592,31
105;BELFORD ROXO;BOLETO;1521505;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC10510022020_1521505.rem;CLARO;1;1;45,84
105;BELFORD ROXO;BOLETO;1521505;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC10510022020_1521505.rem;NET;83;31;3.082,36
161;DUQUE DE CAXIAS;BOLETO;1521517;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC16110022020_1521517.rem;CLARO;4;4;201,67
161;DUQUE DE CAXIAS;BOLETO;1521517;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC16110022020_1521517.rem;NET;53;18;3.118,54
178;ANANINDEUA;BOLETO;1521229;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC17810022020_1521229.rem;NET;98;34;3.993,51
178;ANANINDEUA;BOLETO;1521229;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC17810022020_1521229.rem;CLARO;3;3;256,46
194;BELEM;BOLETO;1521148;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC19410022020_1521148.rem;NET;825;276;33.689,60
194;BELEM;BOLETO;1521148;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC19410022020_1521148.rem;CLARO;17;17;2.804,79
195;SERTAOZINHO;BOLETO;1521782;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC19510022020_1521782.rem;CLARO;2;2;280,94
195;SERTAOZINHO;BOLETO;1521782;23/01/2020;10/02/2020;Primeira Via-PrintHouse;EC19510022020_1521782.rem;NET;82;27;2.385,36
