COD_OPERADORA;NOME_CIDADE;TIPO;ID_REGISTRO_EMISSAO;EMISSAO;VENCTO;ORIGEM;ARQUIVO;NOME_PARCEIRO;QTDE_PAGE_TOTAL;QTDE_COB_TOTAL;VALOR_TOTAL
507;VILA VELHA;BOLETO;1535685;29/01/2020;15/03/2020;Primeira Via-PrintHouse;EC50715032020_1535685.rem;NET;4;1;118,72
508;VITORIA;BOLETO;1535697;29/01/2020;15/03/2020;Primeira Via-PrintHouse;EC50815032020_1535697.rem;NET;6;2;447,64
507;VILA VELHA;BOLETO;1535680;29/01/2020;15/03/2020;Primeira Via-PrintHouse;ER150715032020_1535680.rem;NET;1;1;187,64
508;VITORIA;BOLETO;1535694;29/01/2020;15/03/2020;Primeira Via-PrintHouse;ER150815032020_1535694.rem;NET;3;1;158,54
507;VILA VELHA;BOLETO;1535681;29/01/2020;15/03/2020;Primeira Via-PrintHouse;ER350715032020_1535681.rem;NET;10;3;622,40
508;VITORIA;BOLETO;1535695;29/01/2020;15/03/2020;Primeira Via-PrintHouse;ER350815032020_1535695.rem;NET;7;3;393,40
507;VILA VELHA;BOLETO;1535686;29/01/2020;15/03/2020;Primeira Via-PrintHouse;ETC50715032020_1535686.rem;NET;91;33;9.400,77
508;VITORIA;BOLETO;1535699;29/01/2020;15/03/2020;Primeira Via-PrintHouse;ETC50815032020_1535699.rem;NET;36;12;3.641,07
508;VITORIA;BOLETO;1535698;29/01/2020;15/03/2020;Primeira Via-PrintHouse;ETRZ50815032020_1535698.rem;NET;3;1;270,30
507;VILA VELHA;BOLETO;1535682;29/01/2020;15/03/2020;Primeira Via-PrintHouse;ETR150715032020_1535682.rem;NET;3;1;75,85
507;VILA VELHA;BOLETO;1535683;29/01/2020;15/03/2020;Primeira Via-PrintHouse;ETR350715032020_1535683.rem;NET;3;1;262,89
507;VILA VELHA;BOLETO;1535684;29/01/2020;15/03/2020;Primeira Via-PrintHouse;ET50715032020_1535684.rem;NET;151;53;15.052,94
508;VITORIA;BOLETO;1535696;29/01/2020;15/03/2020;Primeira Via-PrintHouse;ET50815032020_1535696.rem;NET;105;36;9.000,53
507;VILA VELHA;BOLETO;1535679;29/01/2020;15/03/2020;Primeira Via-PrintHouse;E50715032020_1535679.rem;NET;244;98;24.726,82
508;VITORIA;BOLETO;1535693;29/01/2020;15/03/2020;Primeira Via-PrintHouse;E50815032020_1535693.rem;NET;148;58;11.290,39
507;VILA VELHA;DEBITO EM CONTA;1535691;29/01/2020;15/03/2020;Primeira Via-PrintHouse;DC50715032020_1535691.rem;NET;4;1;261,61
508;VITORIA;DEBITO EM CONTA;1535702;29/01/2020;15/03/2020;Primeira Via-PrintHouse;DC50815032020_1535702.rem;NET;3;1;49,99
507;VILA VELHA;DEBITO EM CONTA;1535689;29/01/2020;15/03/2020;Primeira Via-PrintHouse;DR150715032020_1535689.rem;NET;3;1;90,00
507;VILA VELHA;DEBITO EM CONTA;1535688;29/01/2020;15/03/2020;Primeira Via-PrintHouse;DR350715032020_1535688.rem;NET;4;2;164,69
507;VILA VELHA;DEBITO EM CONTA;1535692;29/01/2020;15/03/2020;Primeira Via-PrintHouse;DTC50715032020_1535692.rem;NET;128;41;11.684,66
508;VITORIA;DEBITO EM CONTA;1535703;29/01/2020;15/03/2020;Primeira Via-PrintHouse;DTC50815032020_1535703.rem;NET;80;29;9.977,96
507;VILA VELHA;DEBITO EM CONTA;1535690;29/01/2020;15/03/2020;Primeira Via-PrintHouse;DT50715032020_1535690.rem;NET;214;71;21.025,87
508;VITORIA;DEBITO EM CONTA;1535701;29/01/2020;15/03/2020;Primeira Via-PrintHouse;DT50815032020_1535701.rem;NET;98;35;10.550,04
507;VILA VELHA;DEBITO EM CONTA;1535687;29/01/2020;15/03/2020;Primeira Via-PrintHouse;D50715032020_1535687.rem;NET;110;51;12.980,27
508;VITORIA;DEBITO EM CONTA;1535700;29/01/2020;15/03/2020;Primeira Via-PrintHouse;D50815032020_1535700.rem;NET;70;31;6.815,96


**********
FATURAS EBT CONTESTADAS/ALTERADAS
COD_OPERADORA;NOME_CIDADE;NUM_CONTRATO;ID_COBRANCA_PARCEIRO;NOME_PARCEIRO;VALOR_TOTAL;STATUS_COBRANCA
FIM
