COD_OPERADORA;NOME_CIDADE;TIPO;ID_REGISTRO_EMISSAO;EMISSAO;VENCTO;ORIGEM;ARQUIVO;NOME_PARCEIRO;QTDE_PAGE_TOTAL;QTDE_COB_TOTAL;VALOR_TOTAL
003;SAO PAULO;BOLETO;477831;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00320022020_477831.rem;NET;4590;1070;113.802,73
003;SAO PAULO;BOLETO;477831;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00320022020_477831.rem;CLARO;4;4;436,73
003;SAO PAULO;BOLETO;477832;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00320022020_477832.rem;NET;2394;644;92.413,77
003;SAO PAULO;BOLETO;477832;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00320022020_477832.rem;CLARO;91;91;13.549,45
003;SAO PAULO;BOLETO;477833;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00320022020_477833.rem;NET;2;1;299,86
003;SAO PAULO;BOLETO;477834;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00320022020_477834.rem;CLARO;50;50;6.690,69
003;SAO PAULO;BOLETO;477834;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00320022020_477834.rem;NET;479;132;25.879,32
003;SAO PAULO;BOLETO;477835;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00320022020_477835.rem;NET;183;53;9.242,44
003;SAO PAULO;BOLETO;477835;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00320022020_477835.rem;CLARO;18;18;2.838,73
003;SAO PAULO;BOLETO;477876;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ERX00320022020_477876.rem;CLARO;13;13;1.523,19
003;SAO PAULO;BOLETO;477876;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ERX00320022020_477876.rem;NET;107;25;3.409,21
003;SAO PAULO;BOLETO;477877;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ERZ00320022020_477877.rem;CLARO;11;11;1.234,69
003;SAO PAULO;BOLETO;477877;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ERZ00320022020_477877.rem;NET;91;23;2.989,93
003;SAO PAULO;BOLETO;477836;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ER1C00320022020_477836.rem;NET;127;33;6.380,80
003;SAO PAULO;BOLETO;477721;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ER100320022020_477721.rem;NET;3298;1000;169.197,72
003;SAO PAULO;BOLETO;477722;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ER100320022020_477722.rem;NET;3368;1000;152.389,39
003;SAO PAULO;BOLETO;477723;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ER100320022020_477723.rem;NET;3965;1000;154.887,20
003;SAO PAULO;BOLETO;477724;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ER100320022020_477724.rem;NET;3103;714;110.241,25
003;SAO PAULO;BOLETO;477725;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ER100320022020_477725.rem;NET;2967;921;180.618,92
003;SAO PAULO;BOLETO;477837;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ER3C00320022020_477837.rem;NET;141;36;7.069,01
003;SAO PAULO;BOLETO;477726;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ER300320022020_477726.rem;NET;3330;1000;169.227,08
003;SAO PAULO;BOLETO;477727;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ER300320022020_477727.rem;NET;3519;1000;161.741,47
003;SAO PAULO;BOLETO;477728;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ER300320022020_477728.rem;NET;4939;1176;170.208,74
003;SAO PAULO;BOLETO;477729;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ER300320022020_477729.rem;NET;3050;916;188.382,41
003;SAO PAULO;BOLETO;477846;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477846.rem;NET;3605;851;170.929,32
003;SAO PAULO;BOLETO;477846;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477846.rem;CLARO;880;854;75.938,72
003;SAO PAULO;BOLETO;477846;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477846.rem;EMBRATEL;494;419;8.457,48
003;SAO PAULO;BOLETO;477847;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477847.rem;NET;3;1;150,99
003;SAO PAULO;BOLETO;477847;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477847.rem;EMBRATEL;2;1;139,96
003;SAO PAULO;BOLETO;477849;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477849.rem;EMBRATEL;1014;775;27.654,23
003;SAO PAULO;BOLETO;477849;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477849.rem;NET;3502;943;196.571,60
003;SAO PAULO;BOLETO;477849;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477849.rem;CLARO;928;849;112.049,93
003;SAO PAULO;BOLETO;477850;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477850.rem;CLARO;937;847;116.973,67
003;SAO PAULO;BOLETO;477850;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477850.rem;NET;3610;960;205.894,83
003;SAO PAULO;BOLETO;477850;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477850.rem;EMBRATEL;994;753;27.593,13
003;SAO PAULO;BOLETO;477851;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477851.rem;EMBRATEL;1046;780;26.402,36
003;SAO PAULO;BOLETO;477851;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477851.rem;CLARO;903;849;130.777,38
003;SAO PAULO;BOLETO;477851;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477851.rem;NET;3662;949;206.137,93
003;SAO PAULO;BOLETO;477852;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477852.rem;EMBRATEL;970;741;25.370,78
003;SAO PAULO;BOLETO;477852;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477852.rem;NET;3588;949;209.048,41
003;SAO PAULO;BOLETO;477852;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477852.rem;CLARO;885;849;126.483,97
003;SAO PAULO;BOLETO;477853;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477853.rem;CLARO;934;856;134.077,63
003;SAO PAULO;BOLETO;477853;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477853.rem;NET;3614;943;207.980,90
003;SAO PAULO;BOLETO;477853;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477853.rem;EMBRATEL;947;759;24.788,43
003;SAO PAULO;BOLETO;477855;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477855.rem;CLARO;1016;902;116.798,85
003;SAO PAULO;BOLETO;477855;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477855.rem;NET;3621;928;193.331,32
003;SAO PAULO;BOLETO;477855;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477855.rem;EMBRATEL;819;716;21.570,15
003;SAO PAULO;BOLETO;477857;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477857.rem;CLARO;1023;901;110.387,89
003;SAO PAULO;BOLETO;477857;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477857.rem;NET;3564;894;188.604,61
003;SAO PAULO;BOLETO;477857;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477857.rem;EMBRATEL;848;694;20.134,90
003;SAO PAULO;BOLETO;477858;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477858.rem;CLARO;1034;927;92.737,57
003;SAO PAULO;BOLETO;477858;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477858.rem;NET;3549;887;170.138,23
003;SAO PAULO;BOLETO;477858;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477858.rem;EMBRATEL;662;566;14.533,46
003;SAO PAULO;BOLETO;477859;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477859.rem;NET;3555;878;165.614,54
003;SAO PAULO;BOLETO;477859;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477859.rem;EMBRATEL;687;539;13.180,74
003;SAO PAULO;BOLETO;477859;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477859.rem;CLARO;1046;915;94.930,66
003;SAO PAULO;BOLETO;477860;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477860.rem;CLARO;1023;902;87.640,27
003;SAO PAULO;BOLETO;477860;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477860.rem;EMBRATEL;652;557;13.768,32
003;SAO PAULO;BOLETO;477860;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477860.rem;NET;3550;868;168.286,33
003;SAO PAULO;BOLETO;477861;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477861.rem;EMBRATEL;581;493;10.547,54
003;SAO PAULO;BOLETO;477861;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477861.rem;NET;3432;850;155.220,68
003;SAO PAULO;BOLETO;477861;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477861.rem;CLARO;1011;875;82.088,69
003;SAO PAULO;BOLETO;477862;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477862.rem;EMBRATEL;881;784;24.184,76
003;SAO PAULO;BOLETO;477862;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477862.rem;NET;3506;955;272.865,38
003;SAO PAULO;BOLETO;477862;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477862.rem;CLARO;961;909;175.350,22
003;SAO PAULO;BOLETO;477863;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477863.rem;NET;3461;942;222.758,86
003;SAO PAULO;BOLETO;477863;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477863.rem;CLARO;938;894;143.115,78
003;SAO PAULO;BOLETO;477863;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477863.rem;EMBRATEL;905;736;24.075,94
003;SAO PAULO;BOLETO;477864;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477864.rem;NET;1967;434;63.856,65
003;SAO PAULO;BOLETO;477864;06/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00320022020_477864.rem;CLARO;303;317;21.514,12
