COD_OPERADORA;NOME_CIDADE;TIPO;ID_REGISTRO_EMISSAO;EMISSAO;VENCTO;ORIGEM;ARQUIVO;NOME_PARCEIRO;QTDE_PAGE_TOTAL;QTDE_COB_TOTAL;VALOR_TOTAL
037;POCOS DE CALDAS;BOLETO;1194012;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC03720022020_1194012.rem;NET;23;9;415,53
075;SANTA MARIA;BOLETO;1195047;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07520022020_1195047.rem;NET;79;28;2.676,40
075;SANTA MARIA;BOLETO;1195047;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07520022020_1195047.rem;CLARO;1;1;91,59
078;PORTO ALEGRE - CABO;BOLETO;1194891;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07820022020_1194891.rem;NET;266;94;8.471,65
078;PORTO ALEGRE - CABO;BOLETO;1194891;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07820022020_1194891.rem;CLARO;3;3;804,49
078;PORTO ALEGRE - CABO;BOLETO;1194892;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07820022020_1194892.rem;CLARO;6;6;1.402,09
078;PORTO ALEGRE - CABO;BOLETO;1194892;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07820022020_1194892.rem;NET;142;55;6.229,27
078;PORTO ALEGRE - CABO;BOLETO;1194893;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07820022020_1194893.rem;NET;10;4;597,65
078;PORTO ALEGRE - CABO;BOLETO;1194893;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07820022020_1194893.rem;CLARO;1;1;71,99
078;PORTO ALEGRE - CABO;BOLETO;1194894;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07820022020_1194894.rem;NET;16;5;695,41
078;PORTO ALEGRE - CABO;BOLETO;1194895;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07820022020_1194895.rem;CLARO;6;6;1.246,61
078;PORTO ALEGRE - CABO;BOLETO;1194895;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07820022020_1194895.rem;NET;35;15;2.353,74
078;PORTO ALEGRE - CABO;BOLETO;1194896;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07820022020_1194896.rem;NET;4;2;102,03
078;PORTO ALEGRE - CABO;BOLETO;1194897;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07820022020_1194897.rem;CLARO;3;3;371,73
078;PORTO ALEGRE - CABO;BOLETO;1194897;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07820022020_1194897.rem;NET;12;5;1.226,35
078;PORTO ALEGRE - CABO;BOLETO;1194898;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC07820022020_1194898.rem;NET;22;8;850,51
083;FARROUPILHA;BOLETO;1194779;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC08320022020_1194779.rem;NET;6;4;484,69
083;FARROUPILHA;BOLETO;1194779;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC08320022020_1194779.rem;CLARO;1;1;325,22
086;JOINVILLE;BOLETO;1195231;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC08620022020_1195231.rem;NET;199;72;7.697,73
086;JOINVILLE;BOLETO;1195231;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC08620022020_1195231.rem;CLARO;5;5;425,25
087;CAPAO DA CANOA;BOLETO;1194659;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC08720022020_1194659.rem;NET;49;17;2.157,17
088;FLORIANOPOLIS;BOLETO;1195167;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC08820022020_1195167.rem;CLARO;7;7;581,36
088;FLORIANOPOLIS;BOLETO;1195167;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC08820022020_1195167.rem;NET;187;68;8.662,63
088;FLORIANOPOLIS;BOLETO;1195168;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC08820022020_1195168.rem;CLARO;1;1;285,07
088;FLORIANOPOLIS;BOLETO;1195168;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC08820022020_1195168.rem;NET;9;4;353,26
088;FLORIANOPOLIS;BOLETO;1195169;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC08820022020_1195169.rem;NET;4;2;123,72
089;CRICIUMA;BOLETO;1195265;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC08920022020_1195265.rem;NET;31;12;1.118,80
091;MARINGA;BOLETO;1194626;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC09120022020_1194626.rem;CLARO;4;4;202,72
091;MARINGA;BOLETO;1194626;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC09120022020_1194626.rem;NET;135;49;3.927,48
093;ARAPONGAS;BOLETO;1194506;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC09320022020_1194506.rem;NET;14;6;831,44
112;RIO VERDE;BOLETO;1194529;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC11220022020_1194529.rem;NET;78;24;1.366,43
115;CABO FRIO;BOLETO;1194131;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC11520022020_1194131.rem;NET;13;4;505,69
203;JARAGUA DO SUL;BOLETO;1194264;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC20320022020_1194264.rem;NET;33;11;431,68
213;LAGES;BOLETO;1194538;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC21320022020_1194538.rem;NET;9;3;138,65
233;TATUI;BOLETO;1193998;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC23320022020_1193998.rem;NET;51;18;895,27
246;TREMEMBE;BOLETO;1194226;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC24620022020_1194226.rem;NET;15;5;743,03
279;VINHEDO;BOLETO;1193955;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC27920022020_1193955.rem;NET;9;3;535,41
282;VOTORANTIM;BOLETO;1194058;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC28220022020_1194058.rem;CLARO;2;2;112,03
282;VOTORANTIM;BOLETO;1194058;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC28220022020_1194058.rem;NET;53;18;1.933,07
320;SAO PEDRO DA ALDEIA;BOLETO;1194165;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC32020022020_1194165.rem;NET;7;2;322,97
322;APUCARANA;BOLETO;1194235;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC32220022020_1194235.rem;NET;11;3;236,23
379;CAMBE;BOLETO;1194176;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC37920022020_1194176.rem;NET;32;10;417,47
420;ARUJA;BOLETO;1194088;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC42020022020_1194088.rem;CLARO;1;1;113,13
420;ARUJA;BOLETO;1194088;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC42020022020_1194088.rem;NET;45;10;968,84
448;BATATAIS;BOLETO;1194143;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC44820022020_1194143.rem;NET;13;3;214,04
459;POUSO ALEGRE;BOLETO;1194027;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC45920022020_1194027.rem;NET;9;3;53,00
498;CAIEIRAS;BOLETO;1194200;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC49820022020_1194200.rem;NET;22;9;603,72
521;SOBRAL;BOLETO;1193971;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC52120022020_1193971.rem;NET;11;4;295,32
543;CATANDUVA;BOLETO;1194047;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC54320022020_1194047.rem;NET;7;3;184,80
560;CACHOEIRINHA;BOLETO;1194415;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC56020022020_1194415.rem;NET;8;4;469,50
678;SAO ROQUE;BOLETO;1194110;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC67820022020_1194110.rem;CLARO;1;1;63,46
678;SAO ROQUE;BOLETO;1194110;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC67820022020_1194110.rem;NET;21;9;571,93
684;URUGUAIANA;BOLETO;1195117;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC68420022020_1195117.rem;NET;25;11;672,63
685;CRUZ ALTA;BOLETO;1194604;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC68520022020_1194604.rem;NET;3;1;2,17
686;NOVO HAMBURGO - CABO;BOLETO;1194684;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC68620022020_1194684.rem;NET;82;32;3.345,14
686;NOVO HAMBURGO - CABO;BOLETO;1194684;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC68620022020_1194684.rem;CLARO;1;1;54,99
687;CAXIAS DO SUL;BOLETO;1194750;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC68720022020_1194750.rem;CLARO;3;3;464,21
687;CAXIAS DO SUL;BOLETO;1194750;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC68720022020_1194750.rem;NET;106;49;5.051,02
688;BENTO GONCALVES;BOLETO;1194729;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC68820022020_1194729.rem;NET;16;9;1.050,84
688;BENTO GONCALVES;BOLETO;1194729;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC68820022020_1194729.rem;CLARO;2;2;200,75
689;LAJEADO;BOLETO;1194709;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC68920022020_1194709.rem;NET;4;2;35,00
690;BAGE;BOLETO;1194584;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC69020022020_1194584.rem;NET;7;2;202,48
691;PELOTAS;BOLETO;1195073;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC69120022020_1195073.rem;CLARO;1;1;54,99
691;PELOTAS;BOLETO;1195073;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC69120022020_1195073.rem;NET;74;26;2.811,82
692;RIO GRANDE;BOLETO;1194991;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC69220022020_1194991.rem;NET;39;15;2.058,38
693;PASSO FUNDO;BOLETO;1195094;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC69320022020_1195094.rem;NET;37;15;1.401,73
694;SANTA CRUZ DO SUL;BOLETO;1195024;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC69420022020_1195024.rem;CLARO;1;1;51,24
694;SANTA CRUZ DO SUL;BOLETO;1195024;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC69420022020_1195024.rem;NET;22;8;1.072,26
695;ERECHIM;BOLETO;1194800;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC69520022020_1194800.rem;NET;7;4;271,20
700;BLUMENAU;BOLETO;1195139;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC70020022020_1195139.rem;NET;112;41;5.065,15
