mes_gerac;base;vencto;email_faturas;email_valor_net;sigma_faturas;sigma_valor_net;dif_faturas;dif_valor_net
06/2020;SOC;2020-02-10;0;0.00;910380;100496093.02;-910380;-100496093.02
06/2020;BHZ;2020-02-10;0;0.00;232321;27087178.00;-232321;-27087178.00
06/2020;ISP;2020-02-10;0;0.00;854050;93978345.68;-854050;-93978345.68
06/2020;BRI;2020-02-10;0;0.00;730536;78024670.99;-730536;-78024670.99
06/2020;BHZ;2020-03-10;0;0.00;244;73433.86;-244;-73433.86
06/2020;SOC;2020-03-10;0;0.00;911;263470.07;-911;-263470.07
06/2020;BRI;2020-02-20;0;0.00;410456;45376794.85;-410456;-45376794.85
06/2020;CTV;2020-02-20;0;0.00;114223;13099294.72;-114223;-13099294.72
06/2020;SUL;2020-02-10;857268;100839439.58;857268;100839439.58;0;0.00
06/2020;BRA;2020-02-10;981747;140763700.97;981747;140763700.97;0;0.00
06/2020;SPO;2020-02-10;930159;124587307.41;930159;124587307.41;0;0.00
06/2020;CTV;2020-02-10;401259;42690443.64;401259;42690443.64;0;0.00
06/2020;SUL;2020-02-15;496479;57543922.67;496479;57543922.67;0;0.00
06/2020;SOC;2020-02-15;574152;62624144.28;574728;62776527.46;-576;-152383.18
06/2020;CTV;2020-02-15;241985;26928403.92;241985;26928403.92;0;0.00
06/2020;BHZ;2020-02-15;180849;21285639.28;181401;21454597.62;-552;-168958.34
06/2020;ISP;2020-02-15;567416;61785426.67;567416;61785426.67;0;0.00
06/2020;BRI;2020-02-15;499903;54670516.67;499903;54670516.67;0;0.00
06/2020;SPO;2020-02-15;556972;75703686.19;556972;75703686.19;0;0.00
06/2020;BRA;2020-02-15;586695;79706236.32;586695;79706236.32;0;0.00
06/2020;SOC;2020-03-15;567;149250.95;567;149250.95;0;0.00
06/2020;BHZ;2020-03-15;553;171960.97;553;171960.97;0;0.00
06/2020;SOC;2020-02-20;412958;45509511.96;413102;45549900.99;-144;-40389.03
06/2020;SPO;2020-02-20;485491;65659721.11;485491;65659721.11;0;0.00
06/2020;BHZ;2020-02-20;148962;19273523.72;149035;19295689.16;-73;-22165.44
06/2020;ISP;2020-02-20;400999;45317194.13;400999;45317194.13;0;0.00
06/2020;BRA;2020-02-20;356241;49868801.19;356241;49868801.19;0;0.00
06/2020;SUL;2020-02-20;287029;34959257.24;287029;34959257.24;0;0.00
06/2020;BHZ;2020-03-20;71;22114.20;71;22114.20;0;0.00
06/2020;SOC;2020-03-20;143;38859.74;143;38859.74;0;0.00
