OPERADORA;TIPO_COBRANCA;DT_VENCTO;DT_GERACAO;QTD_COB;TOTAL_R$;COD_OPERADORA;BASE;DIA_VENCTO
BELO HORIZONTE;BOLETO;05/02/2020;01/01/2020;22045;3907963.93;013;BHZ;5
BELO HORIZONTE;BOLETO;08/02/2020;01/01/2020;10733;1789028.91;013;BHZ;8
BELO HORIZONTE;BOLETO;05/03/2020;01/01/2020;3200;1030701.64;013;BHZ;5
BELO HORIZONTE;BOLETO;08/03/2020;01/01/2020;105;34002.72;013;BHZ;8
BELO HORIZONTE;DEBITO EM CONTA;05/02/2020;01/01/2020;24531;5027747.32;013;BHZ;5
BELO HORIZONTE;DEBITO EM CONTA;08/02/2020;01/01/2020;7852;1513966.09;013;BHZ;8
BELO HORIZONTE;DEBITO EM CONTA;05/03/2020;01/01/2020;4153;1368171.69;013;BHZ;5
BELO HORIZONTE;DEBITO EM CONTA;08/03/2020;01/01/2020;85;26345.13;013;BHZ;8
BELO HORIZONTE;CARTAO DE CREDITO;05/02/2020;01/01/2020;99;18787.81;013;BHZ;5
BELO HORIZONTE;CARTAO DE CREDITO;08/02/2020;01/01/2020;35;5685.42;013;BHZ;8
BELO HORIZONTE;CARTAO DE CREDITO;05/03/2020;01/01/2020;2;419.99;013;BHZ;5
--------FIM--------
